Perfume Name,Brand,Category,Gender,Olfactory Family,Key Notes,When to Wear,Best Occasion,Longevity,Sillage,Year,Perfumer,Price (AED),Pros,Cons,Comment,Profession,Persona
Dior Homme Intense 2011,Dior,Best Men's All Time,Male,Woody Floral,"Iris, Ambrette, Cocoa","Winter, Autumn",Black Tie Galas,Long lasting,Strong,2011,François Demachy,650,Masterpiece of powdery woods,Lipstick vibe,Tailored luxury tuxedo.,Diplomat,Polished mannered gentleman.
Terre d'Hermès,Hermès,Best Men's All Time,Male,Woody Spicy,"Orange, Pepper, Vetiver","Spring, Autumn",Boardroom,Long lasting,Strong,2006,Jean-Claude Ellena,550,Earthy citrus standard,Dirty to youth,Dirty orange earthy vetiver.,Executive,Mature capable leader.
Bleu de Chanel EDP,Chanel,Best Men's All Time,Male,Woody Aromatic,"Grapefruit, Incense",All Seasons,First Dates,Long lasting,Moderate,2014,Jacques Polge,650,Versatile crowd-pleaser,Common DNA,Ultimate blue fragrance.,Banker,Sharp universally liked guy.
La Nuit de l'Homme,YSL,Best Men's All Time,Male,Woody Spicy,"Cardamom, Lavender","Autumn, Winter",Intimate Dates,Moderate,Moderate,2009,Anne Flipo,500,Most seductive designer,Weak longevity,Warm spicy cardamom cloud.,Writer,Charming mysterious soul.
XJ 1861 Naxos,Xerjoff,Best Men's All Time,Unisex,Aromatic Spicy,"Honey, Tobacco","Autumn, Winter",Lounges,Eternal,Enormous,2015,Chris Maurice,950,Incredible honey-tobacco blend,Very loud,Wealthy syrupy cigar lounge.,Business Owner,Powerful charismatic extrovert.
Imagination,Louis Vuitton,Best Men's All Time,Male,Citrus Aromatic,"Citron, Black Tea",Summer,Yachts,Long lasting,Strong,2021,Jacques Cavallier,1300,Best fresh tea scent,High price,Sparkling soapy ultra-luxe tea.,Real Estate,Wealthy active achiever.
Dior Homme Parfum,Dior,Best Men's All Time,Male,Leather,"Leather, Iris, Rose",Winter,Formal Events,Eternal,Enormous,2014,François Demachy,750,Absolute pinnacle of designer,Hard to find,Dark waxy leather-iris masterpiece.,Judge,Wealthy mature alpha.
Layton,Parfums de Marly,Best Men's All Time,Unisex,Amber Floral,"Apple, Vanilla, Cardamom","Autumn, Winter",Evening Dates,Long lasting,Strong,2016,H. Merati-Kashani,1100,Ultimate compliment magnet,Menthol opening,Sweet spicy baked apple pie.,Surgeon,Wealthy charming individual.
Le Male Le Parfum,JPG,Best Men's All Time,Male,Amber,"Cardamom, Lavender","Autumn, Winter",Clubs,Long lasting,Strong,2020,Quentin Bisch,500,Smooth mass-appealing,Redundant to others,Mature dark spicy upgrade.,Influencer,Stylish modern gentleman.
Hypnotic Poison,Dior,Best Women's All Time,Female,Amber Vanilla,"Almond, Jasmine, Vanilla",Winter,Intimate Dates,Long lasting,Strong,1998,Annick Menardo,600,Timeless seductive classic,Reformulated weaker,Deadly spellbinding almond potion.,Actor,Sultry captivating siren.
Shalimar EDP,Guerlain,Best Women's All Time,Female,Amber Spicy,"Bergamot, Iris, Incense",Winter,Opera & Galas,Long lasting,Strong,1990,Jacques Guerlain,650,Queen of orientals,Vintage opening,Smoky leathery vanilla classic.,Historian,Cultured timeless beauty.
Coco Mademoiselle,Chanel,Best Women's All Time,Female,Amber Floral,"Orange, Rose, Patchouli",All Seasons,Signature Wear,Long lasting,Strong,2001,Jacques Polge,700,Put-together fragrance,Very ubiquitous,Classy effervescent patchouli-citrus.,Manager,Organized elegant successful woman.
Mon Guerlain,Guerlain,Best Women's All Time,Female,Amber Woody,"Lavender, Vanilla","Spring, Autumn",Cozy Brunches,Long lasting,Moderate,2017,Thierry Wasser,650,Comforting wife-material,Can feel too safe,Glowing maternal lavender hug.,Teacher,Warm nurturing elegant woman.
Alien,Mugler,Best Women's All Time,Female,Amber Woody,"Jasmine, Cashmeran",Winter,Clubbing,Eternal,Enormous,2005,Dominique Ropion,600,Nuclear otherworldly jasmine,Polarizing,Massive intergalactic white floral.,Fashion Designer,Fiercely independent trendsetter.
Delina,Parfums de Marly,Best Women's All Time,Female,Floral,"Turkish Rose, Litchi","Spring, Summer",Weddings,Long lasting,Strong,2017,Quentin Bisch,1200,Universally loved,Imitated heavily,Pretty-princess tart rose.,HR Manager,Hyper-feminine romantic.
Dior Addict,Dior,Best Women's All Time,Female,Amber Floral,"Blackberry, Jasmine",Winter,Evening Dates,Long lasting,Strong,2002,Thierry Wasser,750,Dark sexy and rich,Overwhelming indoors,Seductive smoky vanilla floral.,Artist,Seductive night-owl.
Libre Le Parfum,YSL,Best Women's All Time,Female,Amber Floral,"Lavender, Honey","Autumn, Winter",Date Nights,Long lasting,Strong,2022,Anne Flipo,700,Syrupy rich seductive,Heavy for day,Boss-babe honeyed lavender.,Lawyer,Independent successful leader.
L'Interdit EDP Rouge,Givenchy,Best Women's All Time,Female,Amber Floral,"Blood Orange, Tuberose","Autumn, Winter",Holiday Parties,Long lasting,Strong,2021,Dominique Ropion,550,Spicy sweet addictive,Ginger opening sharp,Spicy sultry red-carpet tuberose.,Event Planner,Fiery passionate extrovert.
Portrait of a Lady,Frederic Malle,Best Women's All Time,Female,Amber Floral,"Rose, Patchouli, Incense","Autumn, Winter",High-Society,Eternal,Enormous,2010,Dominique Ropion,1400,Masterpiece of modern perfumery,Intimidating mature,Gothic majestic rose in incense.,Gallery Owner,Authoritative intimidating chic woman.
XJ 1861 Naxos,Xerjoff,Best Niche All Time,Unisex,Aromatic Spicy,"Honey, Tobacco","Autumn, Winter",Lounges,Eternal,Enormous,2015,Chris Maurice,950,Incredible honey-tobacco,Very loud,Wealthy syrupy cigar lounge.,Business Owner,Wealthy charismatic extrovert.
Ani,Nishane,Best Niche All Time,Unisex,Amber Floral,"Vanilla, Ginger","Autumn, Winter",Evening Dates,Eternal,Enormous,2019,Cécile Zarokian,850,Unique green spicy vanilla,Lemon cake opening,Massive spicy ginger-vanilla room filler.,Chef,Bold inviting personality.
Bois Impérial,Essential Parfums,Best Niche All Time,Unisex,Woody Aromatic,"Akigalawood, Vetiver",All Seasons,Office Wear,Eternal,Enormous,2020,Quentin Bisch,350,Unbeatable value,Linear,Sharp clean metallic wood.,Engineer,Precise effective professional.
Musc Ravageur,Frederic Malle,Best Niche All Time,Unisex,Amber,"Musk, Vanilla, Cinnamon",Winter,Intimate Dates,Long lasting,Strong,2000,Maurice Roucel,1100,Animalic daring sexy,Dirty to some noses,Dirty spicy musky vanilla.,Writer,Sensual confident artistic soul.
Gris Charnel Extrait,BDK Parfums,Best Niche All Time,Unisex,Woody Spicy,"Fig, Black Tea, Sandalwood","Autumn, Winter",Cozy Indoors,Long lasting,Strong,2022,Mathilde Bijaoui,1100,Exceptionally smooth creamy,Very dense,Spiced chai in a cashmere blanket.,Author,Calm comforting person.
Portrait of a Lady,Frederic Malle,Best Niche All Time,Female,Amber Floral,"Rose, Patchouli, Incense","Autumn, Winter",High-Society,Eternal,Enormous,2010,Dominique Ropion,1400,Masterpiece of modern perfumery,Intimidating mature,Gothic majestic rose in incense.,CEO,Authoritative intimidating chic woman.
Vibrato,Sospiro,Best Niche All Time,Unisex,Citrus,"Grapefruit, Ginger",Summer,Luxury Vacations,Eternal,Enormous,2022,C. Provenzano,1200,Sparkling Tygar alternative,High price,Effervescent wealthy grapefruit.,Pilot,Energetic wealthy go-getter.
02 L'Air du Desert Marocain,Tauer,Best Niche All Time,Unisex,Amber Spicy,"Coriander, Cumin, Amber","Autumn, Winter",Niche Meetups,Eternal,Enormous,2005,Andy Tauer,650,Absolute work of art,Cumin smells like sweat,Dry spicy Moroccan desert night.,Explorer,Traveled philosophical rustic individual.
Alexandria II,Xerjoff,Best Niche All Time,Unisex,Amber Woody,"Lavender, Oud, Sandalwood",Winter,High-End Galas,Eternal,Enormous,2012,Chris Maurice,2200,Pure unadulterated luxury,Exorbitant,Ultimate statement of wealth.,Royalty,Elite powerful figure.
Hacivat,Nishane,Best Niche All Time,Unisex,Chypre Fruity,"Pineapple, Oakmoss","Spring, Summer",Signature Wear,Eternal,Enormous,2017,Jorge Lee,950,Incredible fresh performance,Can turn sour,Massive earthy pineapple bomb.,Sales Exec,Confident visible leader.
